,path,created_at,imaged_at,x,y,z,x',y',z',impulse,speed,vector,lat,lng
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:24,0,-223,-94,-16,-223.0,-94.0,-16.0,242.53041046433745,94.5306,343.83,36.01359733333334,127.58345833333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:24.071428,0.05,-228,-137,18,-5,-43,34,55.04543577809154,94.5306,343.83,36.01359733333334,127.58345833333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:24.142857,0.1,-190,-145,22,38,-8,4,39.03844259188627,94.5306,343.83,36.01359733333334,127.58345833333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:24.214285,0.15000000000000002,-244,-153,16,-54,-8,-6,54.91812087098393,94.5306,343.83,36.01359733333334,127.58345833333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:24.285714,0.2,-251,-114,8,-7,39,-8,40.422765862815474,94.5306,343.83,36.01359733333334,127.58345833333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:24.357142,0.25,-227,-123,28,24,-9,20,32.51153641401772,94.5306,343.83,36.01359733333334,127.58345833333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:24.428571,0.3,-215,-113,-4,12,10,-32,35.608987629529715,94.5306,343.83,36.01359733333334,127.58345833333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:24.500000,0.35,-225,-110,16,-10,3,20,22.561028345356956,94.5306,343.83,36.01359733333334,127.58345833333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:24.571428,0.39999999999999997,-193,-103,1,32,7,-15,36.02776706930364,94.5306,343.83,36.01359733333334,127.58345833333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:24.642857,0.44999999999999996,-223,-130,9,-30,-27,8,41.14608122288197,94.5306,343.83,36.01359733333334,127.58345833333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:24.714285,0.49999999999999994,-224,-122,9,-1,8,0,8.06225774829855,94.5306,343.83,36.01359733333334,127.58345833333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:24.785714,0.5499999999999999,-204,-123,21,20,-1,12,23.345235059857504,94.5306,343.83,36.01359733333334,127.58345833333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:24.857142,0.6,-251,-128,30,-47,-5,9,48.11444689487763,94.5306,343.83,36.01359733333334,127.58345833333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:24.928571,0.65,-251,-128,30,0,0,0,0.0,94.5306,343.83,36.01359733333334,127.58345833333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25,0.7000000000000001,-210,-124,5,41,4,-25,48.187135212627034,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.052631,0.7500000000000001,-262,-124,17,-52,0,12,53.36665625650534,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.105263,0.8000000000000002,-181,-116,3,81,8,-14,82.58934555982388,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.157894,0.8500000000000002,-191,-121,-10,-10,-5,-13,17.146428199482248,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.210526,0.9000000000000002,-238,-100,28,-47,21,38,63.984373092185564,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.263157,0.9500000000000003,-236,-114,15,2,-14,-13,19.209372712298546,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.315789,1.0000000000000002,-193,-125,-50,43,-11,-65,78.70832230456955,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.368421,1.0500000000000003,-234,-112,-23,-41,13,27,50.78385570237849,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.421052,1.1000000000000003,-257,-149,-44,-23,-37,-21,48.36320915737499,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.473684,1.1500000000000004,-245,-132,31,12,17,75,77.83315488916018,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.526315,1.2000000000000004,-203,-137,-7,42,-5,-38,56.859475903318,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.578947,1.2500000000000004,-203,-137,-7,0,0,0,0.0,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.631578,1.3000000000000005,-219,-141,11,-16,-4,18,24.413111231467404,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.684210,1.3500000000000005,-235,-118,6,-16,23,-5,28.460498941515414,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.736842,1.4000000000000006,-214,-121,-8,21,-3,-14,25.41653005427767,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.789473,1.4500000000000006,-220,-153,12,-6,-32,20,38.2099463490856,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.842105,1.5000000000000007,-210,-102,-7,10,51,-19,55.33534132902769,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.894736,1.5500000000000007,-255,-144,7,-45,-42,14,63.12685640834652,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:25.947368,1.6000000000000008,-235,-141,-5,20,3,-12,23.515952032609693,91.82520000000001,343.51,36.013825833333335,127.58337533333334
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26,1.6500000000000008,-193,-129,-25,42,12,-20,48.041648597857254,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.050000,1.7000000000000008,-201,-147,-18,-8,-18,7,20.904544960366874,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.100000,1.7500000000000009,-231,-119,5,-30,28,23,47.042533945356304,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.150000,1.800000000000001,-219,-127,6,12,-8,1,14.45683229480096,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.200000,1.850000000000001,-204,-124,-26,15,3,-32,35.4682957019364,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.250000,1.900000000000001,-201,-133,-2,3,-9,24,25.80697580112788,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.300000,1.950000000000001,-230,-125,5,-29,8,7,30.886890422961002,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.350000,2.000000000000001,-227,-163,13,3,-38,8,38.948684188300895,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.400000,2.0500000000000007,-205,-127,-22,22,36,-35,54.817880294662984,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.450000,2.1000000000000005,-187,-131,-8,18,-4,14,23.15167380558045,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.500000,2.1500000000000004,-224,-128,-1,-37,3,7,37.77565353504821,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.550000,2.2,-230,-154,29,-6,-26,30,40.149719799769464,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.600000,2.25,-257,-124,30,-27,30,1,40.3732584763727,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.650000,2.3,-233,-135,5,24,-11,-25,36.359317925395686,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.700000,2.3499999999999996,-211,-120,-10,22,15,-15,30.56141357987225,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.750000,2.3999999999999995,-218,-107,7,-7,13,17,22.516660498395403,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.800000,2.4499999999999993,-222,-123,-28,-4,-16,-35,38.691084244306204,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.850000,2.499999999999999,-222,-123,-28,0,0,0,0.0,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.900000,2.549999999999999,-251,-119,-1,-29,4,27,39.824615503479755,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:26.950000,2.5999999999999988,-228,-132,4,23,-13,5,26.888659319497503,90.2376,343.25,36.014049666666665,127.5832925
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27,2.6499999999999986,-182,-137,30,46,-5,26,53.075418038862395,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.052631,2.6999999999999984,-222,-143,-11,-40,-6,-41,57.59340239992772,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.105263,2.7499999999999982,-248,-158,-22,-26,-15,-11,31.96873472629156,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.157894,2.799999999999998,-237,-124,-35,11,34,-13,38.02630668366309,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.210526,2.849999999999998,-219,-136,4,18,-12,39,44.598206241955516,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.263157,2.8999999999999977,-225,-137,-18,-6,-1,-22,22.825424421026653,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.315789,2.9499999999999975,-212,-164,-15,13,-27,3,30.116440692751194,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.368421,2.9999999999999973,-192,-153,-33,20,11,-18,29.068883707497267,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.421052,3.049999999999997,-209,-106,28,-17,47,61,78.86063656856949,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.473684,3.099999999999997,-224,-148,-2,-15,-42,-30,53.749418601506754,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.526315,3.149999999999997,-226,-150,-11,-2,-2,-9,9.433981132056603,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.578947,3.1999999999999966,-223,-122,-17,3,28,-6,28.792360097775937,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.631578,3.2499999999999964,-196,-162,-24,27,-40,-7,48.76474136094644,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.684210,3.2999999999999963,-199,-116,-57,-3,46,-33,56.69215113223346,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.736842,3.349999999999996,-199,-116,-57,0,0,0,0.0,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.789473,3.399999999999996,-219,-108,-14,-20,8,43,48.093658625644196,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.842105,3.4499999999999957,-223,-136,0,-4,-28,14,31.559467676119,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.894736,3.4999999999999956,-243,-145,-3,-20,-9,-3,22.135943621178654,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:27.947368,3.5499999999999954,-222,-137,-12,21,8,-9,24.20743687382041,89.469,342.9,36.0142705,127.5832095
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:28,3.599999999999995,-239,-147,-22,-17,-10,-10,22.11334438749598,88.6212,342.64,36.014489,127.583126
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:28.052631,3.649999999999995,-216,-142,-24,23,5,-2,23.62202362203543,88.6212,342.64,36.014489,127.583126
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:28.105263,3.699999999999995,-224,-167,-11,-8,-25,13,29.29163703175362,88.6212,342.64,36.014489,127.583126
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:28.157894,3.7499999999999947,-224,-110,26,0,57,37,67.95586803212802,88.6212,342.64,36.014489,127.583126
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:28.210526,3.7999999999999945,-195,-124,7,29,-14,-19,37.389838191679836,88.6212,342.64,36.014489,127.583126
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:28.263157,3.8499999999999943,-253,-106,4,-58,18,-3,60.802960454241045,88.6212,342.64,36.014489,127.583126
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:28.315789,3.899999999999994,-232,-129,9,21,-23,5,31.54362059117501,88.6212,342.64,36.014489,127.583126
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:28.368421,3.949999999999994,-225,-111,-9,7,18,-18,26.40075756488817,88.6212,342.64,36.014489,127.583126
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:28.421052,3.999999999999994,-216,-150,-5,9,-39,4,40.22437072223753,88.6212,342.64,36.014489,127.583126
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:28.473684,4.049999999999994,-232,-128,-13,-16,22,-8,28.35489375751565,88.6212,342.64,36.014489,127.583126
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:28.526315,4.099999999999993,-232,-128,-13,0,0,0,0.0,88.6212,342.64,36.014489,127.583126
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:28.578947,4.149999999999993,-195,-123,-5,37,5,8,38.18376618407357,88.6212,342.64,36.014489,127.583126
0,10하7040_20191117_111926_N_1_앞 20초만 사고영상.mp4,2019-11-17 02:19:28.631578,4.199999999999993,-195,-123,-5,0,0,0,0.0,88.6212,342.64,36.014489,127.583126
