,path,created_at,imaged_at,x,y,z,x',y',z',impulse,speed,vector,lat,lng
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:23,0,125,-21,246,125.0,-21.0,246.0,276.73452982958236,86.634,272.08,37.43261316666667,126.74872816666667
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:23.071428,0.05,99,-15,203,-26,6,-43,50.60632371551998,86.634,272.08,37.43261316666667,126.74872816666667
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:23.142857,0.1,113,21,262,14,36,59,70.51950084905593,86.634,272.08,37.43261316666667,126.74872816666667
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:23.214285,0.15000000000000002,104,-18,259,-9,-39,-3,40.13726448077895,86.634,272.08,37.43261316666667,126.74872816666667
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:23.285714,0.2,125,-1,229,21,17,-30,40.3732584763727,86.634,272.08,37.43261316666667,126.74872816666667
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:23.357142,0.25,87,11,270,-38,12,41,57.175169435691224,86.634,272.08,37.43261316666667,126.74872816666667
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:23.428571,0.3,133,-10,196,46,-21,-74,89.62700485902673,86.634,272.08,37.43261316666667,126.74872816666667
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:23.500000,0.35,118,-32,247,-15,-22,51,57.532599454570104,86.634,272.08,37.43261316666667,126.74872816666667
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:23.571428,0.39999999999999997,117,-37,216,-1,-5,-31,31.416556144810016,86.634,272.08,37.43261316666667,126.74872816666667
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:23.642857,0.44999999999999996,125,-14,256,8,23,40,46.82947789587238,86.634,272.08,37.43261316666667,126.74872816666667
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:23.714285,0.49999999999999994,125,-14,256,0,0,0,0.0,86.634,272.08,37.43261316666667,126.74872816666667
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:23.785714,0.5499999999999999,103,11,225,-22,25,-31,45.4972526643093,86.634,272.08,37.43261316666667,126.74872816666667
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:23.857142,0.6,90,-11,257,-13,-22,32,40.95119045888654,86.634,272.08,37.43261316666667,126.74872816666667
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:23.928571,0.65,88,-18,232,-2,-7,-25,26.038433132583073,86.634,272.08,37.43261316666667,126.74872816666667
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24,0.7000000000000001,122,-16,233,34,2,1,34.07345007480164,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.050000,0.7500000000000001,101,-10,256,-21,6,23,31.71750305430741,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.100000,0.8000000000000002,82,-12,192,-19,-2,-64,66.79071791798619,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.150000,0.8500000000000002,128,-34,210,46,-22,18,54.0740233383831,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.200000,0.9000000000000002,128,11,199,0,45,-11,46.32493928760188,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.250000,0.9500000000000003,109,-14,219,-19,-25,20,37.22902093797257,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.300000,1.0000000000000002,128,-12,240,19,2,21,28.39013913315678,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.350000,1.0500000000000003,124,-31,239,-4,-19,-1,19.44222209522358,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.400000,1.1000000000000003,144,-29,236,20,2,-3,20.322401432901575,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.450000,1.1500000000000004,123,-44,215,-21,-15,-21,33.27160951922825,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.500000,1.2000000000000004,124,-32,206,1,12,-9,15.033296378372908,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.550000,1.2500000000000004,77,-16,217,-47,16,11,50.85272854036448,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.600000,1.3000000000000005,113,-32,197,36,-16,-20,44.181444068749045,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.650000,1.3500000000000005,127,-53,221,14,-21,24,34.828149534535996,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.700000,1.4000000000000006,127,-53,221,0,0,0,0.0,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.750000,1.4500000000000006,127,-18,238,0,35,17,38.91015291668744,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.800000,1.5000000000000007,113,-22,217,-14,-4,-21,25.553864678361276,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.850000,1.5500000000000007,81,-4,244,-32,18,27,45.574115460423364,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.900000,1.6000000000000008,128,-14,221,47,-10,-23,53.27288240746881,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:24.950000,1.6500000000000008,124,1,212,-4,15,-9,17.944358444926362,87.94080000000001,272.14,37.432620666666665,126.7484455
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25,1.7000000000000008,110,-24,223,-14,-25,11,30.692018506445613,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.055555,1.7500000000000009,116,-43,228,6,-19,5,20.54263858417414,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.111111,1.800000000000001,111,-4,210,-5,39,-18,43.243496620879306,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.166666,1.850000000000001,119,-15,235,8,-11,25,28.460498941515414,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.222222,1.900000000000001,77,-34,212,-42,-19,-23,51.51698748956503,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.277777,1.950000000000001,124,1,283,47,35,71,92.05976319760984,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.333333,2.000000000000001,153,-37,208,29,-38,-75,88.93818077743664,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.388888,2.0500000000000007,117,-6,235,-36,31,27,54.644304369257,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.444444,2.1000000000000005,130,1,281,13,7,46,48.31148931672465,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.500000,2.1500000000000004,101,18,216,-29,17,-65,73.1778655059028,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.555555,2.2,111,16,273,10,-2,57,57.905094767213704,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.611111,2.25,95,47,276,-16,31,3,35.014282800023196,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.666666,2.3,95,47,276,0,0,0,0.0,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.722222,2.3499999999999996,117,-22,255,22,-69,-21,75.40557008603542,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.777777,2.3999999999999995,116,-28,230,-1,-6,-25,25.729360660537214,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.833333,2.4499999999999993,110,-18,229,-6,10,-1,11.704699910719626,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.888888,2.499999999999999,123,17,253,13,35,24,44.384682042344295,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:25.944444,2.549999999999999,99,-22,273,-24,-39,20,49.969990994595946,89.1396,272.35,37.43262883333333,126.748159
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26,2.5999999999999988,92,-26,250,-7,-4,-23,24.372115213907882,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.050000,2.6499999999999986,97,-19,199,5,7,-51,51.720402163943,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.100000,2.6999999999999984,113,-1,212,16,18,13,27.367864366808018,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.150000,2.7499999999999982,110,-26,219,-3,-25,7,26.13426869074396,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.200000,2.799999999999998,107,-22,253,-3,4,34,34.36568055487916,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.250000,2.849999999999998,120,-26,208,13,-4,-45,47.01063709417264,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.300000,2.8999999999999977,113,7,226,-7,33,18,38.23610858861032,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.350000,2.9499999999999975,113,7,226,0,0,0,0.0,90.26100000000001,272.61,37.43263916666667,126.747868
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:26.400000,2.9999999999999973,111,-31,238,-2,-38,12,39.89987468652001,90.26100000000001,272.61,37.43263916666667,126.747868
